x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	ymin	ymax
1.47	3.25	3.82	4.37	5.01	5.54	6.29	6.48	7.37	7.8	43.7743	40.6302	36.739	32.2533	26.5767	21.8592	15.7722	14.4273	9.77402	8.784	8.66667	44.6667
8.12	8.74	8.81	9.61	10.48	14.03	14.76	15.79	16.37	16.89	523.562	526.258	526.371	525.273	519.914	480.368	474.079	469.485	469.829	472.341	469.333	526.5
14.45	14.85	17.63	19.07	19.07	20.06	20.35	21.74	21.8	22.15	2023.73	2024.91	2003.4	1981.21	1981.21	1965.77	1961.55	1945.35	1944.85	1942.35	1939.67	2025
10.1	13.76	15.39	17.9	19.73	19.96	20.3	22.93	25.59	25.63	1234.29	859.033	679.696	415.835	248.661	229.875	203.171	47.8682	9.55684	10.0841	5.83333	1549.33
9.28	9.49	10.14	10.69	10.88	12.13	12.52	13.13	13.33	13.82	482.431	482.899	483.305	482.729	482.399	479.749	479.142	478.859	479.009	480.026	478.833	483.333
1.38	1.99	2.09	2.81	3.33	3.5	4.3	4.32	4.47	4.49	11.635	10.6866	10.4829	8.89576	7.90643	7.66667	7.47733	7.49786	7.69929	7.7327	7.33333	11.8333
0.31	0.72	1.42	1.46	1.92	2	2.01	2.17	2.25	2.28	0.48578	0.786816	0.769829	0.759979	0.669696	0.666667	0.666717	0.682754	0.703125	0.713184	0.666667	0.833333
19.04	20.27	21.24	21.95	22.04	22.33	22.58	22.69	22.79	22.97	3065.45	3066.6	3065.76	3065.34	3065.33	3065.45	3065.73	3065.92	3066.12	3066.58	3065.33	3066.67
8.63	9.35	10.68	13.47	19.05	19.17	19.6	20.42	20.93	22.75	768.593	768.718	752.735	669.396	451.342	447.836	436.165	418.245	410.367	407.13	403.333	769.5
4.22	5.95	6.43	7.18	13.12	13.77	14.22	21.01	21.5	23.17	2022.01	2019.07	2006.63	1977.97	1449.38	1369.51	1312.83	449.38	395.667	232.056	1.33333	2029.17
14.69	14.85	15.71	16.01	16.39	16.8	17.54	18.91	20.47	20.89	1501.35	1500.7	1495.56	1493.25	1490.08	1486.46	1479.86	1469.8	1467.36	1469.28	1466.67	1502.67
24.15	24.54	24.54	24.9	25.85	26.09	26.74	26.74	26.9	27.52	5832.41	5833.09	5833.09	5833.32	5832.82	5832.58	5832.06	5832.06	5832.01	5832.32	5832	5833.33
7.61	7.98	9.88	10.33	12.21	12.96	14.68	28.79	29.09	29.12	2464.11	2434.34	2246.92	2195.02	1953.24	1847.59	1591.62	7.71483	7.26816	7.34724	7.16667	2611.33
12.36	12.54	12.91	13.06	13.42	13.88	14.05	14.39	15.49	15.94	900.836	901.089	901.325	901.33	901.182	900.786	900.617	900.296	900.279	901.16	900	901.333
0.32	0.96	0.99	1.06	1.32	1.33	1.75	2.29	2.37	2.64	0.497323	0.832512	0.833283	0.831605	0.793056	0.790862	0.692708	0.716846	0.752001	0.958848	0.666667	0.833333
0.9	1.42	2	4.53	6.75	7.15	8.23	8.89	9.34	9.44	94.293	93.6524	90.6667	59.1521	25.4531	20.5795	11.2194	9.04796	9.4755	9.80279	9	94.3333
3.05	3.47	4.14	4.8	5.94	6.24	6.47	6.51	6.61	6.98	36.145	37.0028	37.3146	36.864	36.0035	36.0622	36.2555	36.3043	36.4478	37.2741	36	37.3333
5.1	5.64	6.01	8.82	10.83	12	12.15	13	17.42	17.6	374.102	371.592	367.879	297.897	219.291	170	163.712	128.833	10.1216	9.01867	8	374.167
13.49	14.54	14.62	16.71	17.51	17.68	17.69	19.13	23.37	23.52	1498.67	1475.53	1473.38	1402.63	1370.42	1363.38	1362.96	1302.38	1161.66	1158.99	1145.83	1512
7.2	8.14	8.53	10.85	10.95	11.35	11.92	11.94	12.75	13.06	328.896	330.619	330.014	318.077	317.468	315.142	312.329	312.245	309.984	309.842	309.833	330.667
14.07	14.12	15.04	15.55	16.02	16.22	16.45	16.74	18.57	19.22	1573	1573.22	1575	1574.45	1573.27	1572.63	1571.81	1570.7	1564.68	1564.43	1564.33	1575
13.57	13.82	15.54	19.77	21.4	22.42	24.36	25.15	25.72	27.68	2481.16	2482.41	2464.91	2280.36	2179.66	2114.48	1994.67	1950.15	1920.41	1838.9	1800	2482.67
26.62	26.72	26.98	27.23	27.55	27.6	27.64	27.92	28.38	28.93	6925.41	6925.45	6925.5	6925.48	6925.4	6925.39	6925.38	6925.34	6925.42	6926.03	6925.33	6925.5
0.69	0.92	1.71	2.18	2.44	2.45	2.53	3.82	4.17	4.67	11.6793	11.8236	11.1965	10.2924	9.71826	9.69579	9.51584	7.37999	7.37832	8.10694	7.33333	11.8333
1.05	1.53	1.82	2.1	2.22	3.54	9.55	14.94	20.27	23.99	2018	2026.09	2028.29	2028.55	2028.11	2002.61	1516.59	825.305	222.847	12.221	0.833333	2028.67
16.06	16.58	16.83	17.44	18.92	19.69	20.2	21.89	22.26	23.41	2645.8	2648.52	2649.06	2648.52	2638.62	2630.33	2624.25	2604.45	2600.84	2593.15	2592	2649.17
16.85	17.79	19.01	19.27	20.06	20.11	22.72	23.12	23.75	24.68	2649.09	2647.15	2637.73	2635.03	2625.94	2625.34	2597.04	2594.48	2592.21	2593.72	2592	2649.17
3.77	3.78	4.38	4.64	5.47	5.67	6.25	6.92	7.08	7.31	25.9664	25.9414	24.0672	23.0911	19.8213	19.0869	17.3177	16.346	16.3463	16.5355	16.3333	27
14.26	14.69	15.12	15.16	15.56	15.57	15.59	16.34	16.37	16.67	1237.09	1237.44	1237.49	1237.49	1237.4	1237.4	1237.39	1237.4	1237.42	1237.66	1237.33	1237.5
10.36	11.31	14.57	14.98	15.19	15.41	15.56	15.92	16.14	16.38	745.055	745.936	729.471	727.581	726.796	726.135	725.789	725.349	725.383	725.713	725.333	746.167
5.2	5.54	5.58	5.98	6.14	6.83	7.04	7.47	7.56	8.77	107.189	107.756	107.799	108	107.981	107.502	107.293	106.898	106.832	107.412	106.667	108
12.36	13.55	13.57	14.93	15.58	18.2	18.26	21.62	23.38	27.57	1457.28	1422.42	1421.68	1361.12	1325.89	1155.94	1151.7	912.756	801.89	654.878	653.333	1472.17
2.22	3.74	4.28	10.02	10.06	10.45	11.4	12.73	12.89	20.07	974.366	975.207	965.953	651.793	648.706	618.309	542.528	435	422.145	15.516	8	980
1.11	5.96	7.48	8.65	9.83	12.6	15.91	16.99	18.31	20.25	971.303	858.232	763.249	678.691	586.903	364.432	134.414	79.1173	30.7626	7.23438	6.66667	978.667
26.06	26.36	26.76	27.1	27.96	28.51	29.28	29.41	30.35	30.89	7210.66	7210.42	7209.66	7208.69	7205.49	7203.34	7200.91	7200.63	7200.26	7201.82	7200	7210.67
0.07	0.34	10.25	10.85	11.76	12.85	15.53	15.8	17.8	18.11	1331.42	1335.88	748.526	688.666	597.813	490.777	251.653	230.531	98.4773	82.4751	7	1340.33
14.66	14.96	15.37	15.45	16.03	17.54	17.58	18.42	19.15	19.67	1501.46	1500.2	1497.89	1497.38	1493.09	1479.86	1479.51	1472.84	1468.63	1466.98	1466.67	1502.67
13.13	13.42	13.87	14.31	16.34	17.04	17.08	22.54	25.68	26.48	2183.53	2186.42	2188.56	2188.05	2157.35	2137.96	2136.74	1922.22	1833.06	1824.21	1822.5	2188.67
26.75	27.46	27.49	27.92	28.07	28.55	29.1	29.13	29.64	30.99	7654.4	7654.22	7654.18	7653.49	7653.19	7652.14	7650.97	7650.92	7650.18	7651.79	7650	7654.5
2.11	3.41	3.6	4.15	8.28	13.11	13.59	22.48	23.91	23.94	1769.05	1776.17	1774.11	1763.96	1520.4	998.122	940.254	67.8534	15.9708	15.2959	3.33333	1778
2.42	3.84	10.08	15.09	15.31	15.66	16.46	17.61	17.99	19.18	1141.24	1137.99	786.598	344.96	326.71	298.245	236.226	156.217	132.601	69.4059	1.33333	1144.5
1.76	2.78	6.31	8.11	8.26	9.27	15.25	17.98	18.81	19.33	826.172	821.653	695.457	585.377	575.344	505.497	109.786	16.323	8.1379	8.77096	7.83333	826.667
5.72	6.3	6.75	6.96	7.16	7.34	7.52	8.18	8.59	8.66	90.7543	89.019	87.3281	86.4933	85.6947	84.9864	84.3002	82.161	81.3132	81.2181	81	91.6667
14.28	14.44	15.28	15.52	17.07	18.18	18.23	20.1	20.6	20.93	1686.08	1686.66	1687.31	1686.87	1679.74	1672.94	1672.65	1666.69	1667.64	1669.1	1666.67	1687.5
3.92	6.39	8.25	13.48	18.76	19.79	22.46	22.7	23.73	26.47	2889.1	2712.33	2508.23	1725.71	852.279	697.124	347.647	320.878	216.41	34.5712	5.33333	2934.67
5.48	6.42	9.21	9.32	9.56	10.76	11.38	11.66	12.19	13.71	197.007	197.407	172.961	171.62	168.682	154.648	148.602	146.316	142.953	142.717	140.833	198
3.02	3.03	3.61	4.45	4.53	4.62	5.29	5.55	5.57	5.76	28.5394	28.5587	29.2375	29.2625	29.2425	29.2206	29.2168	29.3734	29.3908	29.6018	29.1667	29.3333
5.11	5.2	6.25	6.82	8.08	8.11	9.46	9.71	10.41	10.66	177.389	177.909	179.818	178.167	170.02	169.775	157.892	155.729	150.244	148.585	144	180
1.09	1.63	2.98	4.36	7.07	8.42	9.09	9.79	10.09	11.17	296.285	294.035	275.398	241.24	149.813	102.168	80.1364	59.1325	50.9279	26.3839	8.33333	296.333
16.19	16.82	16.83	17.4	18.05	18.67	20.86	20.86	21.62	22.44	1457.86	1445.75	1445.55	1434.11	1421	1408.92	1376.69	1376.69	1371.96	1372.23	1371.33	1492.83
2.4	3.28	3.87	7.69	11.09	11.32	15.14	19.85	21.75	21.98	3275.57	3279.45	3270.5	3017.94	2573.44	2537.97	1887.27	1042.24	731.672	696.376	0	3280.5
19.08	22.5	22.55	24.09	25.88	26.13	26.43	27.41	27.41	29.95	4271.8	4218.75	4217.43	4173.3	4120.05	4113.05	4104.93	4081.1	4081.1	4050.01	4050	4271.83
7.01	8.14	10.15	11.25	13.36	13.45	14.74	15.56	16.47	19.54	625.943	575.869	464.289	395.859	261.798	256.216	179.497	135.199	91.6915	8.32702	6.66667	689.333
1.69	3.02	6.48	13.87	14.91	15.41	16.87	17.63	18.19	24.53	3657.31	3644.45	3407.65	2243.59	2042.54	1944.9	1659.03	1511.3	1403.59	364.337	0	3658.67
10.16	11.25	12.08	12.39	14.22	15.49	15.62	15.91	16.04	16.06	804.352	806.484	803.587	801.766	786.69	776.359	775.504	773.799	773.137	773.041	770.667	806.667
6.17	6.29	6.72	6.78	7.22	8.36	10.01	10.18	10.19	10.9	186.609	186.958	187.708	187.757	187.764	185.897	183.333	183.384	183.39	184.791	183.333	187.833
6.04	12.95	13.23	13.98	14.13	14.67	15.7	21.51	23.38	27.16	1549.98	1154.72	1127.11	1050.75	1035.11	977.965	866.279	267.815	128.284	6.77017	6.5	1550
3.24	4.32	5.62	5.86	6.75	7.07	7.15	11.73	11.89	11.95	75.1654	76.9859	69.5651	67.3697	57.7969	53.991	53.0232	22.1615	23.174	23.6112	20.1667	77.3333
3.43	6.34	7.25	7.36	9.18	9.51	9.97	10.1	11.35	12.17	83.972	67.7019	54.526	52.8193	24.3343	19.6543	13.6951	12.1537	1.59846	0.117238	0	85.3333
3.04	5.42	6.11	7.81	8.01	8.21	10.88	13.84	15.35	16.07	367.49	334.158	314.658	254.21	246.267	238.204	126.988	28.3005	3.98804	1.3653	1.33333	367.5
1.02	1.29	2.04	2.07	4.23	5.24	5.99	7.3	8.21	9.19	62.9915	64.783	66.6611	66.6496	52.958	41.2625	32.12	17.9773	11.52	9.62864	9.5	66.6667
15.28	15.6	15.7	15.76	15.81	15.9	16.39	16.66	16.83	17.83	1492.95	1493.23	1493.28	1493.3	1493.31	1493.33	1493.28	1493.21	1493.18	1493.7	1493.17	1493.33
19.26	20.57	22.02	22.75	24.16	25.15	27.24	27.58	27.6	27.79	3730.07	3721.76	3703.03	3691.66	3669.63	3656.58	3645.24	3646.41	3646.51	3647.66	3645	3730.33
27.29	27.29	28.2	28.56	28.73	28.94	29.12	29.37	29.42	30.68	8100.71	8100.71	8101.3	8101.08	8100.93	8100.73	8100.55	8100.31	8100.27	8100.57	8100	8101.33
1.12	1.27	2.46	3.88	4.91	5.94	6.51	6.99	8.02	8.63	42.1163	42.9383	44.0643	36.2784	27.4764	18.4835	14.2243	11.3835	8.66787	9.94072	8.66667	44.6667
15.26	16.26	16.56	16.78	17.37	19.07	19.13	19.31	19.86	19.99	1748.38	1749.24	1748.92	1748.58	1747.38	1744.84	1744.86	1744.99	1746.15	1746.63	1744.83	1749.33
7.22	10.42	16.53	18.26	19.53	22.56	23.49	25.5	26.97	27.41	1334.42	1286.83	819.941	648.006	522.194	249.606	180.156	64.625	17.5781	10.7459	7.33333	1340.67
9.66	10.72	12.43	15	16.5	16.98	20.75	21.31	24.13	25.98	953.391	916.789	829.022	650	531.125	492.287	204.495	168.244	33.959	4.67026	4.66667	976.667
14.97	15.54	16.52	17.05	18.3	20.56	21.17	23.71	23.9	23.92	2025	2023.89	2016.93	2011.06	1993.42	1958.64	1951.02	1941.8	1943.15	1943.31	1939.67	2025
9.03	10.56	11.23	15.56	15.75	15.88	16.51	17	17.12	18.63	778.795	781.981	777.146	701.515	697.922	695.514	684.588	677.167	675.523	662.432	661.833	783.333
21.14	21.5	21.74	22.63	22.8	23.17	23.74	23.85	23.87	23.88	4032.38	4033.04	4033.26	4033.02	4032.86	4032.5	4032.06	4032.02	4032.02	4032.01	4032	4033.33
3.84	5.01	5.06	8.16	10.64	11.56	11.73	22.69	24.16	28.37	3243.04	3173.45	3169.81	2852.32	2493.89	2344.09	2315.64	459.937	284.619	11.4415	6.16667	3286.67
25.42	25.48	25.89	26.1	26.9	27.27	27.5	27.63	29.13	29.69	6872.1	6872.21	6872.65	6872.65	6871.69	6870.93	6870.42	6870.12	6868.19	6868.99	6868.17	6872.67
9.32	12.85	14.16	14.5	14.67	15.28	19.2	20.27	21.15	26.18	1535.14	1343.71	1232.15	1200.58	1184.45	1124.79	703.856	587.623	494.957	85.1916	9.16667	1552.67
19.04	19.13	19.16	19.51	20.12	20.13	20.52	20.53	21.54	21.98	2865.91	2866.07	2866.12	2866.51	2866.66	2866.66	2866.58	2866.58	2866.7	2867.29	2866.5	2866.67
24.94	25.54	25.8	26.13	26.14	26.15	27.12	27.49	27.67	28.73	6145.83	6145.45	6145.04	6144.4	6144.38	6144.36	6142.27	6141.68	6141.48	6142.26	6141.33	6145.83
5.59	6.15	7.24	9.23	11.64	12.46	12.88	13.53	13.63	14.48	234.761	217.156	179.88	109.007	37.7028	21.6788	15.7248	9.95746	9.47118	10.0859	8.66667	296.667
17.55	18.71	23.85	25.19	27.05	27.32	27.64	27.97	28.72	29.73	3724.86	3723.35	3604.51	3565.57	3522.61	3518.11	3513.5	3509.64	3504.59	3507.23	3504.17	3726
13.13	13.5	15.36	15.44	16.88	16.93	18.54	18.96	19.03	19.95	1402.55	1404	1400.88	1400.48	1391.89	1391.59	1384.33	1383.84	1383.84	1386.38	1383.83	1404.67
8.59	11.82	12.18	14.96	15.15	15.49	18.67	19.47	19.49	21.45	527.481	383.669	364.233	209.662	199.435	181.439	46.0003	25.8629	25.4531	11.0491	9.5	572
6.79	8.31	8.88	9.2	9.67	10.79	11.65	13.14	13.18	13.54	285.676	280.576	275.678	272.443	267.227	253.706	243.669	231.043	230.836	229.375	228.667	285.833
4.73	9.36	11.68	14.14	14.14	19.61	24.47	24.81	25.99	27.83	2604.8	2303.54	2025.05	1673.62	1673.62	833.339	232.691	202.098	111.328	23.744	7.16667	2611.33
6.13	8.67	9.7	10.01	11.12	12.98	14.26	15.07	18.41	18.81	379.451	370.047	350.299	343.093	313.786	258.434	221.494	200.832	162.948	165.786	162	383.833
21.05	22.82	23.03	24.56	24.61	24.63	25.4	26.38	26.44	26.87	4409.99	4402.07	4400.43	4387.02	4386.59	4386.41	4380.31	4375.07	4374.88	4374.05	4374	4410
27.08	27.44	27.89	27.89	28.08	28.67	28.68	28.81	29.52	29.95	7708.65	7709.12	7709.33	7709.33	7709.33	7709.21	7709.21	7709.18	7709.35	7709.9	7709.17	7709.33
2.49	2.56	2.74	3.01	3.04	3.04	3.85	4.18	4.36	4.98	13.3257	13.3748	13.4603	13.5	13.4992	13.4992	13.3435	13.3515	13.4137	14.1273	13.3333	13.5
4.21	4.34	5.47	5.69	5.73	5.96	6.12	6.43	6.5	6.75	37.2923	37.2308	36.2313	36.0862	36.0663	36.0016	36.015	36.2114	36.2917	36.7031	36	37.3333
8.28	9.4	10.14	12.89	15.68	18.56	18.87	19.86	22.52	22.91	766.006	768.481	761.546	690.763	578.814	466.683	456.792	429.834	405.138	408.967	403.333	769.5
8.84	9.33	9.41	10.35	10.61	10.87	11.46	11.8	11.87	12.29	364.46	364.349	364.271	362.586	362.003	361.434	360.385	360.057	360.025	360.134	360	364.5
19.64	20.16	20.33	21.41	21.42	22.26	22.47	22.8	25.06	25.82	3866.26	3866.59	3866.35	3861.64	3861.57	3855.19	3853.39	3850.46	3833.04	3830.76	3830.67	3866.67
10.4	10.72	12.06	12.75	14.01	14.34	14.59	14.67	14.79	14.79	624.555	625.042	623.878	622.359	620.667	620.853	621.257	621.44	621.767	621.767	620.667	625.167
17.75	17.77	19.5	20.5	20.65	21.44	21.74	21.85	22.35	22.57	2591.87	2591.89	2588.62	2584.71	2584.16	2581.9	2581.46	2581.38	2581.59	2582.04	2581.33	2592
6.12	7.63	11.84	12.57	12.84	17.27	18.66	22.88	25.08	25.71	1731.07	1648.33	1261.84	1179.25	1148	619.229	463.483	99.6213	11.7175	3.58364	2.66667	1777.33
5.2	6.49	6.58	6.66	6.83	6.9	7.8	8.22	8.71	9.81	104.069	99.7191	99.2404	98.8024	97.8372	97.428	91.884	89.3744	86.778	83.4213	83.3333	104.167
25.65	25.72	25.79	26.2	26.39	26.45	26.53	26.86	27.16	27.71	6196.59	6196.62	6196.64	6196.65	6196.61	6196.6	6196.58	6196.51	6196.51	6196.87	6196.5	6196.67
15.27	15.35	17.69	19.48	20.67	21.96	24.13	25.58	26.59	27.88	2474.57	2474.28	2438.07	2384.55	2342.87	2296.73	2228.54	2198.14	2187.99	2191.87	2187	2475
18.46	18.85	19.18	20.15	20.31	21.35	23.45	23.73	24.93	26.04	3562.97	3560.59	3557.59	3544.2	3541.43	3520.42	3469.45	3462.55	3434.81	3414.03	3397.33	3564
1.78	2.57	4.27	5.12	5.91	8.48	12.01	12.57	13.34	14.38	368.349	366.617	339.072	315.517	289.22	186.428	51.7004	36.0989	18.8866	4.91916	2.5	368.667
7.74	8	9.89	10.84	12.74	13.59	16.42	19.92	21.27	22.75	567.861	564.667	517.238	480.116	387.766	341.52	184.943	38.7817	13.2004	13.6927	9.33333	571.833
5.33	5.82	6.7	7.37	7.87	8.99	10.16	11.74	14.32	15.58	231.88	233.852	231.909	226.411	220.444	202.68	180.122	148.776	114.476	114.079	112.5	234
6.1	11.9	12.03	12.1	15.03	17.81	18.26	18.4	19.45	19.62	458.64	242.9	236.53	233.1	98.8027	18.6843	13.0315	11.7813	10.7812	12.1036	9.33333	466.667
4.95	5.07	5.96	9.6	10.33	11	11.79	14.53	17.03	19.81	569.148	569.13	562.55	442.912	406.573	371.167	327.735	176.518	64.0907	6.93513	6.66667	569.167
17.51	18	19.2	19.28	19.38	19.74	20.02	20.23	21.16	21.27	2215.19	2214	2209.54	2209.22	2208.83	2207.51	2206.61	2206.03	2205.05	2205.15	2205	2215.67
18.29	18.36	18.49	18.65	18.72	19.45	20.11	20.3	20.44	20.5	2466.46	2466.54	2466.66	2466.76	2466.79	2466.76	2466.67	2466.72	2466.79	2466.83	2466.67	2466.83
11.9	12.1	13.96	15.06	18.44	19.81	20.26	20.39	21.04	22.54	1106.74	1101.14	1028.58	971.689	763.868	678.137	651.208	643.591	606.805	532.632	450.667	1133.33
5.11	8.16	8.3	10.37	11.76	12.09	14.24	19.29	19.97	22.82	964.7	843.58	835.426	696.3	589.138	562.792	389.529	62.7961	37.633	9.56872	3.33333	975.333
6.65	9	9.59	10.32	10.65	12.07	13.27	13.52	16.82	18.24	285.557	243	226.094	202.899	191.78	141.48	98.9628	90.4506	7.80672	0.350208	0	288
7.87	8.97	9.36	9.47	9.61	13.33	13.39	14.86	15.4	15.78	220.444	203.039	195.841	193.743	191.038	123.498	122.773	112.587	113.241	115.396	112.5	234
3.02	3.82	4.28	7.93	9.44	9.89	12.61	13.53	14.38	14.91	223.737	229.153	228.909	164.619	120.232	106.639	34.3659	18.3261	9.53476	7.54431	7.5	229.333
13.22	14.5	14.55	16.11	18.45	19.21	20.26	20.29	20.49	20.74	1598.38	1599.83	1599.66	1588.22	1560.73	1552.8	1545.28	1545.15	1544.37	1543.73	1543.5	1600.67
4.01	6.95	7.77	11.12	11.46	12.5	14.22	22.28	22.83	23.82	2035.33	1943.81	1889.75	1572.66	1533.73	1409.17	1190	228.65	183.302	113.073	7.5	2035.33
3.16	3.24	5.46	9.78	12.01	13.9	14	14.02	14.48	15.56	225.255	226.01	218.647	109.954	47.7603	13.7113	12.6667	12.4685	8.94033	9.28334	7.5	229.333
2.28	5.72	5.8	5.81	6.06	6.38	6.92	7.21	8.07	8.22	30.0796	19.7119	19.2173	19.1558	17.6419	15.8105	13.1628	12.0626	10.679	10.7912	10.6667	31.5
12.08	14.9	15.15	16.24	16.99	17.72	18.17	19.39	20.79	25.83	1741	1726.96	1721.91	1694.69	1671.99	1647.71	1632.02	1588.31	1539.81	1462.66	1458.33	1746.33
9.2	9.65	10.83	13.39	14.69	14.72	16.54	18.62	19.51	20.92	577.883	570.468	542.164	450.025	395.558	394.292	320.223	252.825	233.828	220.541	220.5	586.667
22.33	23.16	24	24.2	24.36	24.89	27.07	27.32	27.46	28	5112.67	5113.62	5112	5111.36	5110.81	5108.77	5103.01	5103.22	5103.46	5105.33	5103	5113.67
10.07	10.89	12.77	14.03	16.4	17.81	22.29	24.05	24.27	26.35	2326.3	2238.63	2005.87	1830.34	1473.51	1253.66	590.28	372.316	347.7	150.322	0	2604.17
19.01	19.67	19.83	20.68	20.99	21.62	21.96	22.07	22.92	22.93	3065.36	3066.55	3066.64	3066.31	3066.01	3065.46	3065.33	3065.34	3066.44	3066.47	3065.33	3066.67
2.68	5.14	5.68	6.06	6.33	7.15	10.45	12.46	19.83	20.55	1337.97	1296.47	1273.59	1254.91	1240.42	1190.6	921.806	726.281	95.5373	60.7896	5.66667	1339
9.24	9.25	9.58	9.81	9.87	10.45	11.43	11.49	11.68	12.91	432.609	432.63	433.132	433.295	433.316	433.161	432.263	432.216	432.091	433.079	432	433.333
4.74	4.74	5.48	5.51	5.8	6.03	6.6	6.63	7.09	7.94	44.647	44.647	43.1283	43.0608	42.4173	41.9405	41.052	41.0218	40.8457	42.4356	40.8333	45.3333
7.31	11.49	13.8	13.95	13.97	18.66	18.82	19.62	19.98	22.06	615.224	547.575	448.224	441.064	440.106	227.003	221.401	196.49	187.149	161.359	161.333	618.667
6.65	6.76	10.61	10.77	16.5	16.86	20.95	21.08	23.79	27.67	2031.23	2029.5	1824.26	1810.52	1154	1106.64	579.509	563.923	273.184	27.7248	8.16667	2036
9.23	9.75	9.94	11.24	11.57	12.28	12.3	13.84	14.79	14.9	531.995	533.203	533.326	530.894	529.693	526.887	526.809	522.717	524.079	524.53	522.667	533.333
4.26	4.27	4.36	4.68	4.8	5.33	5.76	6.75	6.78	6.91	53.7578	53.7705	53.8745	54.1045	54.144	54.1242	54.0242	54.4219	54.4624	54.6652	54	54.1667
12.26	16.12	17.7	18.79	20.9	21.75	22.12	23.26	26.57	29.03	2079.82	2016.58	1942.22	1880.84	1749.4	1695.14	1671.79	1602.21	1444.12	1401.67	1401.67	2084.33
22.01	22.05	22.07	24	24.19	24.48	24.63	25.01	26.22	26.8	4847.37	4847.53	4847.6	4848	4847.6	4846.96	4846.62	4845.81	4844.74	4845.8	4844.67	4849.17
22.34	22.5	23.49	23.76	23.78	25.39	25.87	26.71	27.72	28.17	5376.98	5377.5	5377.61	5376.87	5376.8	5368.44	5365.45	5360.78	5357.52	5357.41	5357.33	5378.17
22.99	23.95	26.88	27.04	27.34	27.97	28.29	28.8	29.66	30.81	5907.17	5904.29	5873.95	5872.02	5868.49	5861.63	5858.57	5854.46	5850.39	5852.47	5850	5907.17
22.25	22.49	22.66	22.75	23.38	23.47	23.67	24.1	24.16	24.42	4319.74	4319.99	4320.1	4320.13	4320.11	4320.09	4320.04	4320.01	4320.01	4320.11	4320	4320.17
11.06	11.18	12.04	17.35	19.57	21.24	21.98	22.27	24.08	27.44	1223.62	1221.35	1198.71	879.486	701.225	569.64	514.775	494.119	379.552	264.097	261.333	1233.33
7.58	8.8	12.62	12.97	15.99	16.74	18.74	20.76	21.5	30.01	1772.7	1767.8	1572.75	1543.88	1242.45	1156.95	918.787	676.191	590.042	0.00110033	0	1774.67
15.55	16.35	17.69	19.4	19.4	21.04	21.49	23.47	24.83	25.64	2248.54	2241.71	2220.31	2181.59	2181.59	2141.04	2130.52	2093.84	2083.48	2085.47	2083.33	2250
0.05	1.86	9.79	11.65	16.46	18.48	18.53	18.95	20.87	23.91	2021.17	2023.54	1369.68	1130.12	514.906	298.344	293.535	254.35	106.443	4.09291	4	2031.83
12.08	14.45	16.04	20.3	20.87	21.59	21.97	22.1	26.56	26.83	1993.23	1985.08	1939.89	1729.83	1697.79	1657.7	1636.95	1629.95	1451.89	1447.07	1437.33	1999.83
